time,ld,pv,c_grid_in,c_grid_out
 01/08  01:00:00,4.228018768,0,0.1337,0
 01/08  02:00:00,4.228018768,0,0.1337,0
 01/08  03:00:00,4.228018768,0,0.1337,0
 01/08  04:00:00,4.228018768,0,0.1337,0
 01/08  05:00:00,4.228018768,0,0.1337,0
 01/08  06:00:00,4.228018768,0,0.1337,0
 01/08  07:00:00,4.344243883,0,0.1337,0
 01/08  08:00:00,4.768700391,0,0.1337,0
 01/08  09:00:00,2.410200882,0.005297319,0.1781,0
 01/08  10:00:00,1.925018768,0.013991912,0.1781,0
 01/08  11:00:00,1.925018768,0.033872722,0.1781,0
 01/08  12:00:00,1.925018768,0.057479923,0.1781,0
 01/08  13:00:00,1.925018768,0.040019816,0.1781,0
 01/08  14:00:00,1.925018768,0.058716205,0.1781,0
 01/08  15:00:00,1.925018768,0.037285579,0.1781,0
 01/08  16:00:00,1.925018768,0.022218211,0.1781,0
 01/08  17:00:00,3.460352102,0,0.1781,0
 01/08  18:00:00,4.228018768,0,0.1781,0
 01/08  19:00:00,4.228018768,0,0.1781,0
 01/08  20:00:00,4.228018768,0,0.1781,0
 01/08  21:00:00,4.228018768,0,0.1781,0
 01/08  22:00:00,4.228018768,0,0.1781,0
 01/08  23:00:00,4.228018768,0,0.1781,0
 01/08  24:00:00,4.389253235,0,0.1781,0
 01/09  01:00:00,4.939258597,0,0.1337,0
 01/09  02:00:00,4.778024131,0,0.1337,0
 01/09  03:00:00,5.114189909,0,0.1337,0
 01/09  04:00:00,5.113989511,0,0.1337,0
 01/09  05:00:00,5.086723858,0,0.1337,0
 01/09  06:00:00,5.650018006,0,0.1337,0
 01/09  07:00:00,6.984504582,0,0.1337,0
 01/09  08:00:00,8.084515307,0,0.1337,0
 01/09  09:00:00,11.83157429,0.010248977,0.1781,0
 01/09  10:00:00,11.83157429,0.02322173,0.1781,0
 01/09  11:00:00,11.83157429,0.032943557,0.1781,0
 01/09  12:00:00,11.83356765,0.043250026,0.1781,0
 01/09  13:00:00,11.28156893,0.041225672,0.1781,0
 01/09  14:00:00,11.83309482,0.034749399,0.1781,0
 01/09  15:00:00,11.83157429,0.027111893,0.1781,0
 01/09  16:00:00,11.83157429,0.008201186,0.1781,0
 01/09  17:00:00,12.98307429,0,0.1781,0
 01/09  18:00:00,9.734531394,0,0.1781,0
 01/09  19:00:00,8.084515307,0,0.1781,0
 01/09  20:00:00,8.084515307,0,0.1781,0
 01/09  21:00:00,7.534509945,0,0.1781,0
 01/09  22:00:00,7.534509945,0,0.1781,0
 01/09  23:00:00,5.053026812,0,0.1781,0
 01/09  24:00:00,4.778024131,0,0.1781,0
 01/10  01:00:00,4.778024131,0,0.1337,0
 01/10  02:00:00,4.778024131,0,0.1337,0
 01/10  03:00:00,4.778024131,0,0.1337,0
 01/10  04:00:00,4.778024131,0,0.1337,0
 01/10  05:00:00,4.778024131,0,0.1337,0
 01/10  06:00:00,5.053026812,0,0.1337,0
 01/10  07:00:00,6.984504582,0,0.1337,0
 01/10  08:00:00,8.084515307,0,0.1337,0
 01/10  09:00:00,11.83157429,0.009264884,0.1781,0
 01/10  10:00:00,11.83157429,0.025467907,0.1781,0
 01/10  11:00:00,11.83157429,0.055066666,0.1781,0
 01/10  12:00:00,11.83157429,0.081212615,0.1781,0
 01/10  13:00:00,11.28156893,0.092008824,0.1781,0
 01/10  14:00:00,11.83582758,0.090863402,0.1781,0
 01/10  15:00:00,11.83157429,0.05042162,0.1781,0
 01/10  16:00:00,11.83157429,0.014880683,0.1781,0
 01/10  17:00:00,12.98307429,0,0.1781,0
 01/10  18:00:00,9.734531394,0,0.1781,0
 01/10  19:00:00,8.084515307,0,0.1781,0
 01/10  20:00:00,8.084515307,0,0.1781,0
 01/10  21:00:00,7.534509945,0,0.1781,0
 01/10  22:00:00,7.534509945,0,0.1781,0
 01/10  23:00:00,5.053026812,0,0.1781,0
 01/10  24:00:00,4.778024131,0,0.1781,0
 01/11  01:00:00,4.778024131,0,0.1337,0
 01/11  02:00:00,4.778024131,0,0.1337,0
 01/11  03:00:00,4.778024131,0,0.1337,0
 01/11  04:00:00,4.778024131,0,0.1337,0
 01/11  05:00:00,4.778024131,0,0.1337,0
 01/11  06:00:00,5.053026812,0,0.1337,0
 01/11  07:00:00,6.984504582,0,0.1337,0
 01/11  08:00:00,8.084515307,0,0.1337,0
 01/11  09:00:00,11.83157429,0.010272007,0.1781,0
 01/11  10:00:00,11.83157429,0.132753446,0.1781,0
 01/11  11:00:00,11.83157429,0.486395774,0.1781,0
 01/11  12:00:00,11.83157429,0.436853676,0.1781,0
 01/11  13:00:00,11.28348263,0.429562577,0.1781,0
 01/11  14:00:00,11.84278106,0.166984869,0.1781,0
 01/11  15:00:00,11.83283733,0.082651918,0.1781,0
 01/11  16:00:00,11.83157429,0.072128918,0.1781,0
 01/11  17:00:00,12.98307429,0,0.1781,0
 01/11  18:00:00,9.734531394,0,0.1781,0
 01/11  19:00:00,8.084515307,0,0.1781,0
 01/11  20:00:00,8.084515307,0,0.1781,0
 01/11  21:00:00,7.534509945,0,0.1781,0
 01/11  22:00:00,7.534509945,0,0.1781,0
 01/11  23:00:00,5.053026812,0,0.1781,0
 01/11  24:00:00,4.778024131,0,0.1781,0
 01/12  01:00:00,4.778024131,0,0.1337,0
 01/12  02:00:00,4.778024131,0,0.1337,0
 01/12  03:00:00,4.778024131,0,0.1337,0
 01/12  04:00:00,4.778024131,0,0.1337,0
 01/12  05:00:00,4.778024131,0,0.1337,0
 01/12  06:00:00,5.053026812,0,0.1337,0
 01/12  07:00:00,6.984504582,0,0.1337,0
 01/12  08:00:00,8.084515307,0,0.1337,0
 01/12  09:00:00,11.83157429,0.02227098,0.1781,0
 01/12  10:00:00,11.83157429,0.052921988,0.1781,0
 01/12  11:00:00,11.83157429,0.08812933,0.1781,0
 01/12  12:00:00,11.83157429,0.095221662,0.1781,0
 01/12  13:00:00,11.28156893,0.139046251,0.1781,0
 01/12  14:00:00,11.83928327,0.126998115,0.1781,0
 01/12  15:00:00,11.83157429,0.063721903,0.1781,0
 01/12  16:00:00,11.83157429,0.013499424,0.1781,0
 01/12  17:00:00,12.98307429,0,0.1781,0
 01/12  18:00:00,9.734531394,0,0.1781,0
 01/12  19:00:00,8.084515307,0,0.1781,0
 01/12  20:00:00,8.084515307,0,0.1781,0
 01/12  21:00:00,7.534509945,0,0.1781,0
 01/12  22:00:00,7.534509945,0,0.1781,0
 01/12  23:00:00,5.053026812,0,0.1781,0
 01/12  24:00:00,4.778024131,0,0.1781,0
 01/13  01:00:00,4.778024131,0,0.1337,0
 01/13  02:00:00,4.778024131,0,0.1337,0
 01/13  03:00:00,4.778024131,0,0.1337,0
 01/13  04:00:00,4.778024131,0,0.1337,0
 01/13  05:00:00,4.778024131,0,0.1337,0
 01/13  06:00:00,5.053026812,0,0.1337,0
 01/13  07:00:00,6.984504582,0,0.1337,0
 01/13  08:00:00,8.084515307,0,0.1337,0
 01/13  09:00:00,11.83157429,0.008600829,0.1781,0
 01/13  10:00:00,11.83157429,0.016561936,0.1781,0
 01/13  11:00:00,11.83157429,0.036551473,0.1781,0
 01/13  12:00:00,11.83157429,0.048686517,0.1781,0
 01/13  13:00:00,11.28156893,0.056800382,0.1781,0
 01/13  14:00:00,11.83157429,0.049479878,0.1781,0
 01/13  15:00:00,11.83157429,0.054963828,0.1781,0
 01/13  16:00:00,11.83157429,0.020257509,0.1781,0
 01/13  17:00:00,12.98307429,0,0.1781,0
 01/13  18:00:00,9.734531394,0,0.1781,0
 01/13  19:00:00,8.084515307,0,0.1781,0
 01/13  20:00:00,8.084515307,0,0.1781,0
 01/13  21:00:00,7.534509945,0,0.1781,0
 01/13  22:00:00,7.534509945,0,0.1781,0
 01/13  23:00:00,5.053026812,0,0.1781,0
 01/13  24:00:00,4.778024131,0,0.1781,0
 01/14  01:00:00,4.228018768,0,0.1337,0
 01/14  02:00:00,4.228018768,0,0.1337,0
 01/14  03:00:00,4.228018768,0,0.1337,0
 01/14  04:00:00,4.228018768,0,0.1337,0
 01/14  05:00:00,4.228018768,0,0.1337,0
 01/14  06:00:00,4.228018768,0,0.1337,0
 01/14  07:00:00,6.984504582,0,0.1337,0
 01/14  08:00:00,6.600671249,0,0.1337,0
